Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Avg Speed (mi/h),Avg Heart Rate,Steps,target,minutes,Times,Distances
2021-12-29,2021-12-29,Run,405,3.1,1692,9.09677,6.59574,142,4523,276,28.2,20-30,3.09-6.19
2021-12-29,2021-12-28,Run,411,3.1,1760,9.46237,6.34091,142,4685,276,29.333333333333332,20-30,3.09-6.19
2021-12-29,2021-12-27,Run,404,3.1,1686,9.06452,6.61922,142,4508,276,28.1,20-30,3.09-6.19
2021-12-23,2021-12-23,Run,816,6.20212,3744,10.0576,5.96566,151,9888,505,62.4,50-100,6.19-9.99
2021-12-22,2021-12-22,Run,720,6.20107,3633,9.76251,6.14596,149,9628,502,60.55,50-100,6.19-9.99
2021-12-21,2021-12-20,Run,448,3.23,2058,10.6192,5.65015,142,5418,353,34.3,30-50,3.09-6.19
2021-12-18,2021-12-18,Run,821,6.18364,3397,9.15475,6.55397,163,9059,498,56.61666666666667,50-100,3.09-6.19
2021-12-16,2021-12-16,Run,401,3.1048,1717,9.20924,6.5152,149,4535,305,28.616666666666667,20-30,3.09-6.19
2021-12-15,2021-12-15,Run,403,3.1,1642,8.82796,6.79659,142,4403,276,27.366666666666667,20-30,3.09-6.19
2021-12-15,2021-12-14,Run,405,3.1,1690,9.08602,6.60355,142,4518,276,28.166666666666668,20-30,3.09-6.19
2021-12-13,2021-12-13,Run,410,3.07307,1774,9.61835,6.23807,0,4702,251,29.566666666666666,20-30,0-3.09
2021-12-10,2021-12-10,Run,870,6.20368,3890,10.4484,5.74251,148,10214,510,64.83333333333333,50-100,6.19-9.99
2021-12-09,2021-12-09,Run,399,3.1056,1743,9.34827,6.4183,156,4610,311,29.05,20-30,3.09-6.19
2021-12-05,2021-12-05,Run,1876,13.13,9540,12.1087,4.95512,148,22488,567,159.0,,13.1-26.2
2021-12-04,2021-12-04,Run,829,6.2,3600,9.67742,6.2,142,9562,501,60.0,50-100,6.19-9.99
2021-12-03,2021-12-03,Run,852,6.20721,3784,10.1547,5.9086,157,9940,513,63.06666666666667,50-100,6.19-9.99
2021-12-02,2021-12-02,Run,460,3.57864,2187,10.181,5.89334,150,5802,394,36.45,30-50,3.09-6.19
2021-12-01,2021-12-01,Run,866,6.21259,3840,10.3003,5.82506,159,10188,516,64.0,50-100,6.19-9.99
2021-12-02,2021-11-30,Run,420,3.1,2292,12.3226,4.86911,142,5958,276,38.2,30-50,3.09-6.19
2021-11-28,2021-11-28,Run,386,2.79223,1799,10.7295,5.59205,159,4505,230,29.983333333333334,20-30,0-3.09
2021-11-23,2021-11-23,Run,674,5.0,2966,9.88667,6.06878,142,7861,475,49.43333333333333,30-50,3.09-6.19
2021-11-22,2021-11-22,Run,400,3.10988,1783,9.55207,6.28136,150,4789,325,29.716666666666665,20-30,3.09-6.19
2021-11-20,2021-11-20,Run,410,3.1,1748,9.39785,6.38444,142,4656,276,29.133333333333333,20-30,3.09-6.19
2021-11-17,2021-11-17,Run,408,3.1,1723,9.26344,6.47708,142,4597,276,28.716666666666665,20-30,3.09-6.19
2021-11-17,2021-11-16,Run,416,3.1,1818,9.77419,6.13861,142,4824,276,30.3,30-50,3.09-6.19
2021-11-15,2021-11-15,Run,421,3.18,1800,9.43396,6.36,142,4793,345,30.0,30-50,3.09-6.19
2021-11-14,2021-11-14,Run,837,6.3,3600,9.52381,6.3,142,9577,523,60.0,50-100,6.19-9.99
2021-11-13,2021-11-13,Run,834,6.26,3600,9.58466,6.26,142,9571,521,60.0,50-100,6.19-9.99
2021-11-12,2021-11-12,Run,421,3.1,1872,10.0645,5.96154,142,4953,276,31.2,30-50,3.09-6.19
2021-11-11,2021-11-11,Run,651,5.0,2582,8.60667,6.97134,142,6943,475,43.03333333333333,30-50,3.09-6.19
2021-11-11,2021-11-10,Run,406,3.1,1703,9.15591,6.55314,142,4549,276,28.383333333333333,20-30,3.09-6.19
2021-11-10,2021-11-10,Run,403,3.13794,1806,9.58785,6.25792,156,4804,337,30.1,30-50,3.09-6.19
