Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link
2022-05-13,2022-05-13,Run,814,6.2,3430,9.22043,0,6.50729,0,149,9155,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6574579711
2022-05-11,2022-05-11,Run,656,5.00117,2989,9.95615,1,6.02642,55,146,7917,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6570492340
2022-05-09,2022-05-09,Run,391,3.10777,1802,9.65751,1,6.21278,64,140,4782,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6565419007
2022-05-08,2022-05-08,Run,313,2.35281,1376,9.73759,1,6.16169,58,156,3622,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6564195706
2022-05-07,2022-05-07,Run,348,2.59009,1516,9.74739,0,6.15549,141,154,4043,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6562162405
2022-05-07,2022-05-07,Run,430,3.1,1974,10.6129,0,5.6535,0,142,5197,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6560917507
2022-05-06,2022-05-06,Run,796,6.20509,3701,9.93786,0,6.03752,139,148,9854,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6559484371
2022-05-05,2022-05-05,Run,605,4.51981,2670,9.84503,1,6.09445,56,151,7087,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6557322394
2022-05-03,2022-05-03,Run,403,3.1,1665,8.95161,0,6.7027,0,142,4458,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6552116752
2022-05-01,2022-05-01,Run,402,3.10282,1727,9.27449,0,6.46936,133,158,4584,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6548898358
2022-04-30,2022-04-30,Run,328,2.42729,1356,9.30802,0,6.44605,439,163,3579,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6546805396
2022-04-29,2022-04-29,Run,816,6.20159,3774,10.1422,1,5.91586,60,149,10012,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6543975118
2022-04-28,2022-04-29,Run,399,3.1,1539,8.27419,0,7.25146,0,142,4157,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/6543439534
