,Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (mi),Workout Time (seconds),Avg Pace (min/mi),Max Pace,Avg Speed (mi/h),Max Speed,Avg Heart Rate,Steps,Notes,Source,Link,Calculated
383,2020-04-22,2020-04-22,Run,461,4.35,2353,9.01,2.55,6.66,23.53,148.0,6417.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4200751324,39.21666666666667
384,2020-04-22,2020-04-22,Run,446,4.2,2333,9.25,4.84,6.49,12.39,150.0,6369.0,b' ',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4198196242,38.88333333333333
385,2020-04-21,2020-04-21,Run,436,4.2,2207,8.75,0.84,6.86,71.04,158.0,5944.0,b'T',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4196384737,36.78333333333333
387,2020-04-20,2020-04-20,Run,409,4.01,2241,9.3,0.97,6.45,61.85,142.0,5986.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4191436102,37.35
389,2020-04-19,2020-04-19,Run,846,8.02,4808,9.99,1.0,6.0,59.79,149.0,12937.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4187774962,80.13333333333334
390,2020-04-18,2020-04-18,Run,167,1.57,881,9.33,4.22,6.43,14.21,163.0,2395.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4183507942,14.683333333333334
392,2020-04-18,2020-04-18,Run,506,4.53,2585,9.5,5.24,6.32,11.46,158.0,7003.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4183391773,43.083333333333336
393,2020-04-16,2020-04-16,Run,663,5.1,2751,8.99,0.0,6.67,0.0,104.45,7362.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4175504236,45.85
394,2020-04-14,2020-04-14,Run,396,3.11,1504,8.06,0.0,7.44,0.0,104.45,4074.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4167483502,25.066666666666666
396,2020-04-11,2020-04-11,Run,1377,13.12,7844,9.96,1.1,6.02,54.57,150.0,21427.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4159120753,130.73333333333332
397,2020-04-10,2020-04-10,Run,403,3.1,1631,8.77,0.0,6.84,0.0,104.45,4377.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4154376121,27.183333333333334
398,2020-04-07,2020-04-07,Run,420,4.1,2274,9.23,1.41,6.5,42.45,149.0,6286.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4146093196,37.9
400,2020-04-06,2020-04-06,Run,316,3.16,1566,8.26,0.41,7.26,146.84,156.0,4297.0,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4141739206,26.1
