Profile Name,Country Iso Code,Device,Is Kids,Query Typed,Displayed Name,Action,Section,Utc Timestamp
Guest,BE,Smart TV,0,b,black mirror,add_to_list,video_info,2018-06-22 10:45:29
Guest,BE,Smart TV,0,b,black mirror,view_video_info,title_results,2018-06-22 10:45:24
Guest,BE,Smart TV,0,b,black mirror,play,video_info,2018-06-22 10:45:24
Guest,US,Roku,0,fr,frasier,play,video_info,2018-06-20 03:53:25
Guest,US,Roku,0,fr,frasier,view_video_info,title_results,2018-06-20 03:53:20
Guest,MO,Android Tablet,0,1941,-1,view_video_info,video_info,2018-06-19 18:36:02
Guest,MO,Android Tablet,0,1941,"hail, caesar!",play,video_info,2018-06-19 18:04:53
Guest,MO,Android Tablet,0,1941,"hail, caesar!",play,video_info,2018-06-19 18:04:53
Guest,MO,Android Tablet,0,1941,凱薩萬歲！,view_video_info,title_results,2018-06-19 18:04:47
Guest,MO,Android Tablet,0,1941,凱薩萬歲！,view_video_info,title_results,2018-06-19 18:04:47
Guest,MO,Android Tablet,0,baton,shooter,play,video_info,2018-06-19 18:01:39
Guest,MO,Android Tablet,0,baton,shooter,view_video_info,title_results,2018-06-19 18:01:29
Guest,MO,Android Tablet,0,wwi,tunisian victory,play,video_info,2018-06-19 17:17:36
Guest,MO,Android Tablet,0,wwi,san pietro,view_video_info,video_info,2018-06-19 17:17:24
Guest,MO,Android Tablet,0,wwi,san pietro,play,video_info,2018-06-19 17:15:12
Guest,MO,Android Tablet,0,wwi,-1,view_video_info,suggestion_title_results,2018-06-19 17:14:21
Guest,DE,Streaming Stick,0,ev,evil genius: the true story of america's most diabolical bank heist,play,video_info,2018-06-08 16:51:25
Guest,DE,Streaming Stick,0,ev,evil genius: die wahre geschichte des grausamsten banküberfalls in den usa,view_video_info,title_results,2018-06-08 16:51:25
Guest,DE,Streaming Stick,0,san,santa clarita diet,play,video_info,2018-05-29 14:55:00
Guest,DE,Streaming Stick,0,san,santa clarita diet,play,video_info,2018-05-29 14:54:50
Guest,DE,Streaming Stick,0,san,santa clarita diet,view_video_info,title_results,2018-05-29 14:54:50
Guest,BE,HTML 5,0,la casa de,la casa de papel,play,title_results,2018-05-21 18:16:30
Guest,DE,Streaming Stick,0,monter in,hercules,view_video_info,title_results,2018-05-08 16:56:53
Guest,DE,Streaming Stick,0,monter in,hercules,play,video_info,2018-05-08 16:56:53
Guest,BE,Smart TV,0,am ,amateur (trailer),play,video_info,2018-05-02 09:15:19
Guest,BE,Smart TV,0,am ,amateur,view_video_info,title_results,2018-05-02 09:15:15
Guest,BE,Smart TV,0,am ,amateur,play,video_info,2018-05-02 09:15:15
Guest,--,Smart TV,0,j,jessie,play,video_info,2018-04-30 08:35:42
Guest,--,Smart TV,0,j,-1,play,video_info,2018-04-30 08:35:42
Guest,BE,Smart TV,0,j,-1,play,video_info,2018-04-30 07:23:13
Guest,BE,Smart TV,0,j,jessie,play,video_info,2018-04-30 07:00:37
Guest,BE,Smart TV,0,j,jessie,view_video_info,title_results,2018-04-30 07:00:08
Guest,BE,Smart TV,0,j,jessie,play,video_info,2018-04-30 07:00:08
Guest,BE,Smart TV,0,j,-1,play,video_info,2018-04-30 07:00:08
Guest,BE,Ps4_Pro,0,on ,on my block,play,video_info,2018-04-29 10:23:16
Guest,BE,Ps4_Pro,0,on ,on my block,view_video_info,title_results,2018-04-29 10:23:16
Guest,BE,Smart TV,0,chicago p,chicago pd,view_suggestion_info,suggestion_results,2018-04-28 14:28:29
Guest,BE,Smart TV,0,chicag,chicago,view_suggestion_info,suggestion_results,2018-04-28 14:27:57
Guest,BE,Smart TV,0,bon,bon bini holland,view_video_info,title_results,2018-04-24 15:06:19
Guest,BE,Smart TV,0,bon,bon bini holland,play,video_info,2018-04-24 15:06:19
Guest,BE,Smart TV,0,bon,bon bini holland,play,video_info,2018-04-24 14:58:14
Guest,BE,Smart TV,0,bon,bon bini holland,view_video_info,title_results,2018-04-24 14:58:14
Guest,BE,Smart TV,0,bon,bon bini holland,view_video_info,title_results,2018-04-24 14:57:00
Guest,BE,Smart TV,0,bon,bon bini holland,play,video_info,2018-04-24 14:57:00
Guest,BE,Ps4_Pro,0,the block,amateur,view_video_info,title_results,2018-04-24 07:22:14
Guest,BE,Ps4_Pro,0,the block,amateur,play,video_info,2018-04-24 07:22:14
Guest,BE,Ps4_Pro,0,the block,amateur,play,video_info,2018-04-24 06:32:43
Guest,BE,Ps4_Pro,0,the block,amateur (trailer),play,video_info,2018-04-24 06:32:35
Guest,BE,Ps4_Pro,0,the block,amateur,play,video_info,2018-04-24 06:32:30
Guest,BE,Ps4_Pro,0,the block,amateur,view_video_info,title_results,2018-04-24 06:32:30
Guest,BE,Ps4_Pro,0,the block,on my block,view_video_info,title_results,2018-04-24 06:31:29
Guest,BE,Ps4_Pro,0,the block,on my block,play,video_info,2018-04-24 06:31:29
Guest,BE,Smart TV,0,bonb,bon bini holland,play,video_info,2018-04-21 17:56:45
Guest,BE,Smart TV,0,bonb,bon bini holland,view_video_info,title_results,2018-04-21 17:56:45
Guest,BE,Smart TV,0,bon,bon bini holland,view_video_info,title_results,2018-04-14 13:26:22
Guest,BE,Smart TV,0,bon,bon bini holland,play,video_info,2018-04-14 13:26:22
Guest,BE,Smart TV,0,j,jessie,play,video_info,2018-04-13 13:52:26
Guest,BE,Smart TV,0,j,jessie,play,video_info,2018-04-13 13:36:04
Guest,BE,Smart TV,0,j,jessie,add_to_list,video_info,2018-04-13 13:35:49
Guest,BE,Smart TV,0,j,-1,play,video_info,2018-04-13 12:22:38
Guest,BE,Smart TV,0,j,jessie,play,video_info,2018-04-13 11:31:58
Guest,BE,Smart TV,0,j,jessie,play,video_info,2018-04-13 11:30:59
Guest,BE,Smart TV,0,j,jessie,view_video_info,title_results,2018-04-13 11:30:59
Guest,BE,Ps4_Pro,0,anty,money heist,play,video_info,2018-04-12 08:03:09
Guest,BE,Ps4_Pro,0,anty,haus des geldes,view_video_info,title_results,2018-04-12 08:03:09
Guest,BE,Ps4_Pro,0,anty,atypical,view_video_info,title_results,2018-04-12 08:02:46
Guest,BE,Ps4_Pro,0,anty,atypical,play,video_info,2018-04-12 08:02:46
Guest,BE,Smart TV,0,rece,recep i̇vedik 2,view_video_info,title_results,2018-04-10 12:46:43
Guest,BE,Smart TV,0,rece,recep i̇vedik 2,play,video_info,2018-04-10 12:46:43
Guest,BE,Smart TV,0,st,stranger things,play,video_info,2018-03-31 22:32:59
Guest,BE,Smart TV,0,st,stranger things,play,video_info,2018-03-31 22:32:45
Guest,BE,Smart TV,0,st,stranger things,view_video_info,title_results,2018-03-31 22:32:45
Guest,BE,Smart TV,0,st,stranger things,play,video_info,2018-03-31 22:32:30
Guest,BE,Smart TV,0,st,stranger things,view_video_info,title_results,2018-03-31 22:32:17
Guest,BE,Smart TV,0,st,stranger things,play,video_info,2018-03-31 22:32:17
Guest,BE,Smart TV,0,ju,jumanji,view_suggestion_info,suggestion_results,2018-03-31 21:07:07
Guest,BE,Smart TV,0,fl,ratchet and clank,view_video_info,title_results,2018-03-31 21:06:06
Guest,BE,Smart TV,0,fl,ratchet and clank,play,video_info,2018-03-31 21:06:06
Guest,BE,Smart TV,0,fl,power rangers ninja steel,view_video_info,title_results,2018-03-31 21:05:41
Guest,BE,Smart TV,0,fl,power rangers ninja steel,play,video_info,2018-03-31 21:05:41
Guest,BE,Smart TV,0,fl,the flash,play,video_info,2018-03-31 21:04:20
Guest,BE,Smart TV,0,fl,the flash,view_video_info,title_results,2018-03-31 21:04:20
Guest,DE,Streaming Stick,0,je,jessie,play,video_info,2018-03-31 10:44:03
Guest,DE,Streaming Stick,0,je,jessie,play,video_info,2018-03-31 09:18:26
Guest,DE,Streaming Stick,0,je,jessie,play,video_info,2018-03-31 09:18:12
Guest,DE,Streaming Stick,0,je,jessie,view_video_info,title_results,2018-03-31 09:18:12
Guest,DE,Streaming Stick,0,micky,barbie life in the dreamhouse,play,video_info,2018-03-31 09:16:28
Guest,DE,Streaming Stick,0,micky,barbie: life in the dreamhouse,view_video_info,title_results,2018-03-31 09:16:28
Guest,BE,Smart TV,0,la,la casa de papel (trailer),play,video_info,2018-03-17 13:34:29
Guest,BE,Smart TV,0,la,la casa de papel,view_video_info,title_results,2018-03-17 13:34:09
Guest,BE,Smart TV,0,la,money heist,play,video_info,2018-03-17 13:34:09
Guest,BE,Android Phone,0,arr,arrow,play,video_info,2018-03-16 17:54:23
Guest,BE,Android Phone,0,arr,arrow,view_video_info,title_results,2018-03-16 17:54:10
Guest,BE,Android Phone,0,arro,arrow,play,video_info,2018-03-09 13:06:48
Guest,BE,Android Phone,0,arro,arrow,view_video_info,title_results,2018-03-09 13:06:36
Guest,US,Roku,0,fr,frasier,play,video_info,2018-03-09 09:29:51
Guest,US,Roku,0,fr,frasier,play,video_info,2018-03-09 08:18:00
Guest,US,Roku,0,fr,frasier,view_video_info,title_results,2018-03-09 08:17:58
